,Unnamed: 0,Aircraft,Flight Type,Origin,Destination,Departure Time,Arrival Time,Estimated Arrival Time,RealArrivalTime,EA_Time
93,93,EJU8527,A320,London Gatwick (LGW / EGKK),Porto / Oporto (OPO / LPPR),Sun 10:00AM BST,Sun 11:49AM WEST,0 days 01:50:00,2h 4m,110.0
94,94,ABY195,A320,Sharjah Int'l (SHJ / OMSJ),Abha Regional (AHB / OEAB),Sun 01:00PM +04,Sun 02:20PM +03,0 days 02:25:00,2h 32m,145.0
95,95,TVJ108,A320,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Chiang Mai Int'l (CNX / VTCC),Sun 04:00PM +07,Sun 04:35PM +07,0 days 00:55:00,1h 6m,55.0
96,96,GAP2778,A320,Bohol-Panglao (TAG / RPSP),Manila Int'l (MNL / RPLL),Sun 05:00PM PST,Sun 06:05PM PST,0 days 01:05:00,1h 0m,65.0
97,97,CDC8964,A320,Xiangfan (XFN / ZHXF),Wenzhou Int'l (WNZ / ZSWZ),Sun 05:00PM CST,Sun 06:27PM CST,0 days 01:27:00,1h 57m,87.0
98,98,CSZ9728,A320,Haikou Meilan Int'l (HAK / ZJHK),,,,,,
99,99,CCA8675,A320,Guiyang Longdongbao (KWE / ZUGY),Beijing Daxing International Airport (PKX / ZBAD),Sun 05:00PM CST,Sun 07:27PM CST,0 days 02:30:00,3h 14m,150.0
100,100,CDC8621,A320,Lanzhou Zhongchuan International (LHW / ZLLL),Zhangye Ganzhou (YZY / ZLZY),Sun 05:00PM CST,Sun 05:47PM CST,0 days 00:47:00,0h 42m,47.0
101,101,CTV688,A320,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),Ngurah Rai/Bali Intl (DPS / WADD),Sun 03:59PM WIB,Sun 06:29PM WITA,0 days 01:30:00,1h 26m,90.0
102,102,EZY2516,A320,Amsterdam Schiphol (AMS / EHAM),London Luton (LTN / EGGW),Sun 10:59AM CEST,Sun 10:47AM BST,0 days 00:42:00,1h 6m,42.0
103,103,APJ926,A320,Taiwan Taoyuan Int'l (TPE / RCTP),,,,,,
104,104,EZY4203,A320,Naples Int'l (Capodichino) (NAP / LIRN),Ibiza (IBZ / LEIB),Sun 10:59AM CEST,Sun 12:50PM CEST,0 days 01:51:00,2h 19m,111.0
105,105,VJC142,A320,Tan Son Nhat Int'l (SGN / VVTS),Noi Bai Int'l (HAN / VVNB),Sun 03:59PM +07,Sun 05:30PM +07,0 days 01:50:00,2h 27m,110.0
106,106,NWK1603,A320,RAAF Learmonth (LEA / YPLM),Perth Int'l (PER / YPPH),Sun 04:59PM AWST,Sun 06:26PM AWST,0 days 01:18:00,1h 16m,78.0
107,107,SWR977,A320,Berlin-Brandenburg (BER / EDDB),Zurich (Kloten) (ZRH / LSZH),Sun 10:59AM CEST,Sun 11:56AM CEST,0 days 01:05:00,1h 6m,65.0
108,108,AXM6469,A320,Sibu (SBW / WBGS),Kuching Int'l (KCH / WBGG),Sun 04:59PM +08,Sun 05:19PM +08,0 days 00:20:00,0h 52m,20.0
109,109,CSN6360,A320,Harbin Taiping Int'l (HRB / ZYHB),,,,,,
110,110,JST448,A320,Melbourne Tullamarine (MEL / YMML),Gold Coast (OOL / YBCG),Sun 07:59PM AEDT,Sun 08:39PM AEST,0 days 01:39:00,2h 21m,99.0
111,111,CDC8943,A320,Dashuipo (WEH / ZSWH),Changchun Longjia Int'l (CGQ / ZYCC),Sun 04:59PM CST,Sun 06:23PM CST,0 days 01:24:00,1h 20m,84.0
112,112,SNG4390,A320,Changzhou Benniu (CZX / ZSCG),Harbin Taiping Int'l (HRB / ZYHB),Sun 04:59PM CST,Sun 07:25PM CST,0 days 02:26:00,2h 45m,146.0
113,113,CBJ5257,A320,Shijiazhuang Zhengding International Airport (SJW / ZBSJ),Lijiang (LJG / ZPLJ),Sun 04:59PM CST,Sun 08:02PM CST,0 days 03:07:00,3h 19m,187.0
114,114,LBT246,A320,Tunis-Carthage Int'l (TUN / DTTA),Frankfurt Int'l (FRA / EDDF),Sun 09:58AM CET,Sun 01:13PM CEST,0 days 02:15:00,2h 53m,135.0
115,115,IBE3314,A320,Adolfo Suárez Madrid-Barajas (MAD / LEMD),Stockholm-Arlanda (ARN / ESSA),Sun 10:58AM CEST,Sun 01:13PM CEST,0 days 02:15:00,2h 12m,135.0
116,116,CQH6604,A320,Kansai Int'l (KIX / RJBB),Ningbo Lishe Int'l (NGB / ZSNB),Sun 05:58PM JST,Sun 07:30PM CST,0 days 02:34:00,2h 55m,154.0
117,117,VJC629,A320,Da Nang Int'l (DAD / VVDN),Tan Son Nhat Int'l (SGN / VVTS),Sun 03:58PM +07,Sun 04:58PM +07,0 days 01:00:00,1h 41m,60.0
118,118,EIN593,A320,Adolfo Suárez Madrid-Barajas (MAD / LEMD),Dublin Int'l (DUB / EIDW),Sun 10:58AM CEST,Sun 11:48AM IST,0 days 01:51:00,2h 35m,111.0
