"Aircraft","FlightType","Departure_Date","Departure_Time","Arrival_Date","Arrival_Time","EA_Time_Minutes","RA_Time_Minutes","Delay_Time","Delay_Predicted"
"91","A320","5","48","5","65","45","40","-5","-3.8565892787805307"
"144","A320","5","305","5","422","165","37","-128","-122.14300322256261"
"148","A320","5","302","5","431","210","155","-55","-52.24395891114986"
"155","A320","5","305","5","407","125","125","0","0.7301759060262203"
"178","A320","5","125","5","138","75","105","30","29.634653466348567"
"195","A320","5","303","5","420","153","175","22","21.757941229138424"
"267","A320","5","124","5","174","90","90","0","0.821564633954269"
"273","A320","5","305","5","354","80","100","20","20.03029052221713"
"279","A320","5","48","5","75","79","85","6","6.605071252530964"
"316","A320","5","126","5","192","126","137","11","11.27800295224131"
"334","A320","5","125","5","200","150","150","0","0.6648982432204793"
"395","A320","5","125","0","0","99.5","114","14.5","14.704154868864991"
"421","A320","5","227","5","307","100","100","0","0.7954535688319613"
"424","A320","5","227","5","262","36","35","-1","0.0034336444576457126"
"429","A320","5","126","5","135","60","60","0","0.8998978293211639"
"444","A320","5","125","5","164","69","50","-19","-17.347086211272455"
"450","A320","5","63","5","108","126","123","-3","-2.14982742395709"
"554","A320","5","159","5","208","60","60","0","0.8998978293211639"
"577","A320","5","125","5","183","105","100","-5","-4.0132556695143204"
"585","A320","5","272","5","331","50","50","0","0.9260088944434575"
"608","A320","5","63","5","101","90","103","13","13.290264268995644"
"621","A320","5","95","5","123","30","25","-5","-3.8174226810970833"
"674","A320","5","272","5","374","110","110","0","0.7693425037096677"
"701","A320","5","49","5","78","268","295","27","26.253317686017112"
"724","A320","5","123","5","221","164","174","10","10.21965016361955"
"65","A320","5","289","5","348","45","45","0","0.9390644270046113"
"160","A320","5","312","5","372","20","49","29","28.819133583364184"
"175","A320","5","115","5","186","145","160","15","15.06491489313706"
"237","A320","5","312","5","401","83","94","11","11.390280532267186"
"247","A320","5","312","5","409","102","111","9","9.422408026220767"
"272","A320","5","289","5","375","85","94","9","9.466796836928667"
"280","A320","5","51","5","79","70","115","45","44.03467011626513"
"292","A320","5","312","5","417","111","138","27","26.663261408437208"
"329","A320","5","140","5","225","275","275","0","0.33850992919173173"
"353","A320","5","140","5","195","164","174","10","10.21965016361955"
"358","A320","5","115","5","187","87","107","20","20.012012776631522"
"467","A320","5","53","5","98","147","172","25","24.651000091682874"
"470","A320","5","53","5","99","150","167","17","16.97012084288997"
"492","A320","5","289","5","359","60","75","15","15.28685894667659"
"508","A320","5","54","5","81","65","75","10","10.478149708330294"
"526","A320","5","37","5","97","144","6","-138","-131.67947739737608"
"541","A320","5","311","5","406","95","118","23","22.868516148004773"
"559","A320","5","311","5","413","113","154","41","40.085869571611155"
"562","A320","5","311","5","419","64","105","41","40.213813790710404"
"584","A320","5","290","5","376","85","120","35","34.4041961070114"
"628","A320","5","312","5","478","265","93","-172","-164.60586648469484"
"6","A320","5","60","5","102","126","146","20","19.910179622654567"
"11","A320","5","58","5","100","157","177","20","19.82923532077544"
"14","A320","5","59","5","110","155","190","35","34.22141865115532"
"20","A320","5","60","5","107","151","157","6","6.4170715836504275"
"50","A320","5","151","5","220","140","147","7","7.404924496441966"
"88","A320","5","59","5","87","33","45","12","12.479966599035707"
"137","A320","5","59","5","95","67","84","17","17.186842683405033"
"159","A320","5","326","5","418","55","55","0","0.9129533618823107"
"228","A320","5","326","5","437","120","126","6","6.498015885529556"
