Aircraft,Flight_Type,Origin    ,Destination,Departure_Date,Departure_Time,Arrival_Date,Arrival_Time,Estimated ArrivalTime,RealArrivalTime,EA_Time_Minutes,RA_Time_Minutes,Delay_Time
AIQ3017,A320,Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Phuket Int'l (HKT / VTSP),07.03.2024,03:53PM,07.03.2024,05:08PM,0 days 01:15:00,1h 20m,75,80,5
AXM239,A320,Kota Kinabalu Int'l (BKI / WBKK),Hong Kong Int'l (HKG / VHHH),07.03.2024,04:54PM,07.03.2024,07:44PM,0 days 02:50:00,2h 51m,170,171,1
AXM385,A320,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),Kuala Lumpur Int'l (KUL / WMKK),07.03.2024,03:55PM,07.03.2024,06:45PM,0 days 01:50:00,1h 50m,110,110,0
AXM5112,A320,Kuala Lumpur Int'l (KUL / WMKK),Kota Kinabalu Int'l (BKI / WBKK),07.03.2024,04:54PM,07.03.2024,07:09PM,0 days 02:15:00,2h 15m,135,135,-2.8421709430404E-14
CSC6796,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Chengdu Tianfu Int'l (TFU / ZUTF),07.03.2024,04:54PM,07.03.2024,07:06PM,0 days 02:12:00,2h 17m,132,137,4.99999999999997
CTV195,A320,Ngurah Rai/Bali Intl (DPS / WADD),Halim Perdanakusuma Int'l (HLP / WIHH),07.03.2024,04:55PM,07.03.2024,05:25PM,0 days 01:30:00,2h 00m,90,120,30
EWG7581,A320,Palma de Mallorca (or Son Sant Joan) (PMI / LEPA),Hamburg (HAM / EDDH),07.03.2024,09:54AM,07.03.2024,12:24PM,0 days 02:30:00,2h 40m,150,160,10
EZY2184,A320,Geneva Cointrin Int'l (GVA / LSGG),Manchester (MAN / EGCC),07.03.2024,09:53AM,07.03.2024,10:05AM,0 days 01:12:00,1h 42m,72,102,30
EZY322,A320,Bristol Int'l (BRS / EGGD),Edinburgh (EDI / EGPH),07.03.2024,08:53AM,07.03.2024,09:29AM,0 days 00:36:00,0h 56m,36,56,20
OTC7771,A320,Changsha Huanghua Int'l (CSX / ZGHA),Chengdu Tianfu Int'l (TFU / ZUTF),07.03.2024,04:53PM,07.03.2024,06:34PM,0 days 01:41:00,2h 05m,101,125,24
PGT1261,A320,Istanbul Sabiha Gokcen Int'l (SAW / LTFJ),Rotterdam (RTM / EHRD),07.03.2024,11:55AM,07.03.2024,01:15PM,0 days 03:30:00,3h 40m,210,220,10
VTI691,A320,Indira Gandhi Int'l (DEL / VIDP),Sri Guru Ram Dass Jee International Airport (ATQ / VIAR),07.03.2024,02:24PM,07.03.2024,03:14PM,0 days 00:50:00,1h 11m,50,71,21
VTI819,A320,Indira Gandhi Int'l (DEL / VIDP),Bengaluru Int'l (BLR / VOBL),07.03.2024,02:23PM,07.03.2024,04:46PM,0 days 02:25:00,2h 37m,145,157,12
ABY624,A320,Sharjah Int'l (SHJ / OMSJ),Cairo Int'l (CAI / HECA),07.03.2024,01:22PM,07.03.2024,03:12PM,0 days 03:50:00,3h 53m,230,233,3
ADY730,A320,Abu Dhabi Int'l (AUH / OMAA),Heydar Aliyev Int'l (GYD / UBBB),07.03.2024,01:23PM,07.03.2024,04:13PM,0 days 02:50:00,2h 50m,170,170,0
AFR7304,A320,Charles de Gaulle/Roissy (CDG / LFPG),Nice Cote d'Azur (NCE / LFMN),07.03.2024,10:22AM,07.03.2024,11:33AM,0 days 01:11:00,1h 36m,71,96,25
APG777,A320,Manila Int'l (MNL / RPLL),Mactan-Cebu Int'l (CEB / RPVM),07.03.2024,05:22PM,07.03.2024,06:27PM,0 days 01:05:00,1h 05m,65,65,-1.4210854715202E-14
ARE4055,A320,El Dorado Int'l (BOG / SKBO),Alfonso Bonilla Aragon Int'l (CLO / SKCL),07.03.2024,04:22AM,07.03.2024,05:07AM,0 days 00:45:00,1h 05m,45,65,20
AWQ325,A320,Kuala Lumpur Int'l (KUL / WMKK),Juanda Int'l (SUB / WARR),07.03.2024,05:22PM,07.03.2024,06:52PM,0 days 02:30:00,2h 30m,150,150,0
AXM6085,A320,Sultan Azlan Shah (IPH / WMKI),Senai Int'l (Sultan Ismail Int'l) (JHB / WMKJ),07.03.2024,05:22PM,07.03.2024,06:07PM,0 days 00:45:00,0h 45m,45,45,0
VLG8722,A320,Barcelona Int'l (BCN / LEBL),Dublin Int'l (DUB / EIDW),07.03.2024,01:10PM,07.03.2024,02:38PM,0 days 02:28:00,2h 48m,148,168,20
CTV978,A320,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),Kuala Namu International (KNO / WIMM),07.03.2024,04:22PM,07.03.2024,06:22PM,0 days 02:00:00,2h 10m,120,130,10
EZY8638,A320,Munich Int'l (MUC / EDDM),London Gatwick (LGW / EGKK),07.03.2024,10:22AM,07.03.2024,10:39AM,0 days 01:17:00,1h 47m,77,107,30
JJP517,A320,Narita Int'l (NRT / RJAA),Fukuoka (FUK / RJFF),07.03.2024,06:22PM,07.03.2024,08:27PM,0 days 02:05:00,2h 15m,125,135,9.99999999999999
LAO303,A320,Wattay Int'l (VTE / VLVT),Pakse (PKZ / VLPS),07.03.2024,04:23PM,07.03.2024,05:18PM,0 days 00:55:00,0h 55m,55,55,0
NWK1610,A320,Perth Int'l (PER / YPPH),Kalgoorlie-Boulder (KGI / YPKG),07.03.2024,05:23PM,07.03.2024,06:09PM,0 days 00:36:00,1h 10m,36,70,34
TAM3056,A320,São Paulo-Congonhas (CGH / SBSP),Afonso Pena Int'l (CWB / SBCT),07.03.2024,06:23AM,07.03.2024,07:08AM,0 days 00:45:00,0h 57m,45,57,12
VJC1831,A320,Tan Son Nhat Int'l (SGN / VVTS),Wattay Int'l (VTE / VLVT),07.03.2024,04:22PM,07.03.2024,05:47PM,0 days 01:25:00,1h 23m,85,83,-2
ANA1272,A320,New Chitose (CTS / RJCC),Hiroshima (HIJ / RJOA),07.03.2024,06:56PM,07.03.2024,08:51PM,0 days 01:55:00,1h 55m,115,115,0
ANA387,A320,Tokyo Int'l (Haneda) (HND / RJTT),Miho Airfield (Yonago) (YGJ / RJOH),07.03.2024,06:57PM,07.03.2024,08:02PM,0 days 01:05:00,1h 05m,65,65,-1.4210854715202E-14
AVA9653,A320,Jose Maria Cordova Int'l (MDE / SKRG),El Dorado Int'l (BOG / SKBO),07.03.2024,04:56AM,07.03.2024,05:30AM,0 days 00:34:00,0h 43m,34,43,8.99999999999999
AVA9785,A320,Rafael Nunez Int'l (CTG / SKCG),El Dorado Int'l (BOG / SKBO),07.03.2024,04:56AM,07.03.2024,05:18AM,0 days 00:22:00,0h 57m,22,57,35
AWQ508,A320,Ngurah Rai/Bali Intl (DPS / WADD),Singapore Changi (SIN / WSSS),07.03.2024,05:57PM,07.03.2024,08:27PM,0 days 02:30:00,2h 20m,150,140,-10
AWQ647,A320,Komodo (LBJ / WATO),Ngurah Rai/Bali Intl (DPS / WADD),07.03.2024,05:57PM,07.03.2024,06:47PM,0 days 00:50:00,0h 50m,50,50,0
AXM1771,A320,Kuching Int'l (KCH / WBGG),Singapore Changi (SIN / WSSS),07.03.2024,05:56PM,07.03.2024,07:21PM,0 days 01:25:00,1h 15m,85,75,-10
AXM5412,A320,Senai Int'l (Sultan Ismail Int'l) (JHB / WMKJ),Kuching Int'l (KCH / WBGG),07.03.2024,05:57PM,07.03.2024,07:02PM,0 days 01:05:00,1h 05m,65,65,-1.4210854715202E-14
AXM6183,A320,Miri (MYY / WBGR),Kuching Int'l (KCH / WBGG),07.03.2024,05:57PM,07.03.2024,06:37PM,0 days 00:40:00,0h 48m,40,48,8
BEL3751,A320,Brussels (BRU / EBBR),Valencia (VLC / LEVC),07.03.2024,10:56AM,07.03.2024,12:51PM,0 days 01:55:00,1h 55m,115,115,0
CES596,A320,Hong Kong Int'l (HKG / VHHH),Hangzhou Xiaoshan Int'l (HGH / ZSHC),07.03.2024,05:56PM,07.03.2024,07:43PM,0 days 01:47:00,2h 15m,107,135,28
CES6405,A320,Nanchang Changbei Int'l (KHN / ZSCN),Taiyuan Wusu (TYN / ZBYN),07.03.2024,05:56PM,07.03.2024,07:40PM,0 days 01:44:00,2h 05m,104,125,21
CSC6908,A320,Fuzhou Changle Int'l (FOC / ZSFZ),Chengdu Tianfu Int'l (TFU / ZUTF),07.03.2024,05:55PM,07.03.2024,08:50PM,0 days 02:55:00,3h 10m,175,190,15
CSN3452,A320,Kunming Changshui Int'l (KMG / ZPPP),Shenzhen Bao'an Int'l (SZX / ZGSZ),07.03.2024,05:56PM,07.03.2024,07:33PM,0 days 01:37:00,1h 40m,97,100,3
CTV412,A320,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),Supadio (PNK / WIOO),07.03.2024,04:56PM,07.03.2024,06:16PM,0 days 01:20:00,1h 40m,80,100,20
EZY2106,A320,Charles de Gaulle/Roissy (CDG / LFPG),Manchester (MAN / EGCC),07.03.2024,10:57AM,07.03.2024,10:45AM,0 days 00:48:00,1h 25m,48,85,37
EZY2260,A320,Keflavik Int'l (KEF / BIKF),Manchester (MAN / EGCC),07.03.2024,09:57AM,07.03.2024,12:07PM,0 days 02:10:00,2h 40m,130,160,30
IGO5328,A320,Chatrapati Shivaji Int'l (BOM / VABB),Raipur (RPR / VERP),07.03.2024,03:27PM,07.03.2024,04:47PM,0 days 01:20:00,1h 25m,80,85,5
JST534,A320,Melbourne Tullamarine (MEL / YMML),Sydney (SYD / YSSY),07.03.2024,08:57PM,07.03.2024,10:00PM,0 days 00:50:00,1h 10m,50,70,20
SAA40,A320,OR Tambo Int'l (JNB / FAOR),Victoria Falls (FVFA),07.03.2024,11:57AM,07.03.2024,01:12PM,0 days 01:15:00,1h 15m,75,75,0
